[12:13:07] MySQL Database Connected
[12:13:08] 16 Breeds catched
[12:13:08] 256 Heads catched
[12:13:08] 561 Effects catched
[12:13:10] 4 SuperAreas catched
[12:13:10] 48 Areas catched
[12:13:11] 334 SubAreas catched
[12:13:19] 11260 DofusMaps catched
[12:13:19] 9761 StatedElements catched
[12:13:19] 13349 InteractiveElements catched
[12:13:19] 1485 HouseInformations catched
[12:13:19] 555 InteractiveDoors catched
[12:13:19] 3614 MapPositions uncatched
[12:13:19] 14681 MapPositions catched
[12:13:19] 42 MapZaaps catched
[12:13:19] 79 MapSubways catched
[12:13:20] 15228 SpellLevels catched 
[12:13:20] 4772 Spells catched 
[12:13:20] 1179 LearnableSpells catched 
[12:13:20] 9780 ItemTemplates catched 
[12:13:20] 4489 Weapons catched 
[12:13:20] 363 ItemSets catched 
[12:13:20] 171 ItemTypes catched 
[12:13:21] 110 ItemPets catched 
[12:13:21] 2476 NpcTemplates catched 
[12:13:21] 787 NpcSpawns catched 
[12:13:21] 94 NpcItems catched 
[12:13:21] 19801 NpcMessages catched 
[12:13:22] 7 NpcReplies catched 
[12:13:22] 353 Triggers catched
[12:13:22] 1281 Paddocks catched
[12:13:22] 72 Mounts catched
[12:13:22] 0 Guild catched
[12:13:22] 0 Guild catched
[12:13:25] 96 Handlers Readed
[12:13:28] 125 Messages Readed
[12:13:28] WorldServer start in 21971 ms.
[12:13:35] MySQL Database Connected
[12:13:35] 16 Breeds catched
[12:13:35] 256 Heads catched
[12:13:35] 561 Effects catched
[12:13:35] 4 SuperAreas catched
[12:13:35] 48 Areas catched
[12:13:36] 334 SubAreas catched
[12:13:44] 11260 DofusMaps catched
[12:13:44] 9761 StatedElements catched
[12:13:44] 13349 InteractiveElements catched
[12:13:44] 1485 HouseInformations catched
[12:13:44] 555 InteractiveDoors catched
[12:13:46] 3614 MapPositions uncatched
[12:13:46] 14681 MapPositions catched
[12:13:46] 42 MapZaaps catched
[12:13:46] 79 MapSubways catched
[12:13:47] 15228 SpellLevels catched 
[12:13:47] 4772 Spells catched 
[12:13:47] 1179 LearnableSpells catched 
[12:13:47] 9780 ItemTemplates catched 
[12:13:48] 4489 Weapons catched 
[12:13:48] 363 ItemSets catched 
[12:13:48] 171 ItemTypes catched 
[12:13:48] 110 ItemPets catched 
[12:13:49] 2476 NpcTemplates catched 
[12:13:49] 787 NpcSpawns catched 
[12:13:49] 94 NpcItems catched 
[12:13:49] 19801 NpcMessages catched 
[12:13:49] 7 NpcReplies catched 
[12:13:49] 353 Triggers catched
[12:13:49] 1281 Paddocks catched
[12:13:49] 72 Mounts catched
[12:13:49] 0 Guild catched
[12:13:49] 0 GuildMembers catched
[12:13:50] 96 Handlers Readed
[12:13:50] 125 Messages Readed
[12:13:50] WorldServer start in 15516 ms.
[12:36:26] MySQL Database Connected
[12:36:26] 16 Breeds catched
[12:36:26] 256 Heads catched
[12:36:26] 561 Effects catched
[12:36:26] 4 SuperAreas catched
[12:36:26] 48 Areas catched
[12:36:27] 334 SubAreas catched
[12:36:38] 11260 DofusMaps catched
[12:36:38] 9761 StatedElements catched
[12:36:38] 13349 InteractiveElements catched
[12:36:38] 1485 HouseInformations catched
[12:36:38] 555 InteractiveDoors catched
[12:36:38] 3614 MapPositions uncatched
[12:36:38] 14681 MapPositions catched
[12:36:38] 42 MapZaaps catched
[12:36:38] 79 MapSubways catched
[12:36:38] 15228 SpellLevels catched 
[12:36:38] 4772 Spells catched 
[12:36:38] 1179 LearnableSpells catched 
[12:36:39] 9780 ItemTemplates catched 
[12:36:39] 4489 Weapons catched 
[12:36:39] 363 ItemSets catched 
[12:36:39] 171 ItemTypes catched 
[12:36:39] 110 ItemPets catched 
[12:36:39] 2476 NpcTemplates catched 
[12:36:39] 787 NpcSpawns catched 
[12:36:39] 94 NpcItems catched 
[12:36:39] 19801 NpcMessages catched 
[12:36:39] 7 NpcReplies catched 
[12:36:40] 353 Triggers catched
[12:36:40] 1281 Paddocks catched
[12:36:40] 72 Mounts catched
[12:36:40] 0 Guild catched
[12:36:40] 0 GuildMembers catched
[12:36:40] 96 Handlers Readed
[12:36:40] 125 Messages Readed
[12:36:41] WorldServer start in 15120 ms.
[12:37:55] MySQL Database Connected
[12:37:55] 16 Breeds catched
[12:37:55] 256 Heads catched
[12:37:55] 561 Effects catched
[12:37:55] 4 SuperAreas catched
[12:37:55] 48 Areas catched
[12:37:56] 334 SubAreas catched
[12:38:04] 11260 DofusMaps catched
[12:38:04] 9761 StatedElements catched
[12:38:04] 13349 InteractiveElements catched
[12:38:04] 1485 HouseInformations catched
[12:38:04] 555 InteractiveDoors catched
[12:38:04] 3614 MapPositions uncatched
[12:38:04] 14681 MapPositions catched
[12:38:04] 42 MapZaaps catched
[12:38:04] 79 MapSubways catched
[12:38:05] 15228 SpellLevels catched 
[12:38:05] 4772 Spells catched 
[12:38:05] 1179 LearnableSpells catched 
[12:38:05] 9780 ItemTemplates catched 
[12:38:05] 4489 Weapons catched 
[12:38:05] 363 ItemSets catched 
[12:38:05] 171 ItemTypes catched 
[12:38:05] 110 ItemPets catched 
[12:38:06] 2476 NpcTemplates catched 
[12:38:06] 787 NpcSpawns catched 
[12:38:06] 94 NpcItems catched 
[12:38:06] 19801 NpcMessages catched 
[12:38:06] 7 NpcReplies catched 
[12:38:06] 353 Triggers catched
[12:38:06] 1281 Paddocks catched
[12:38:06] 72 Mounts catched
[12:38:06] 0 Guild catched
[12:38:06] 0 GuildMembers catched
[12:38:07] 96 Handlers Readed
[12:38:07] 125 Messages Readed
[12:38:07] WorldServer start in 12366 ms.
[12:39:48] MySQL Database Connected
[12:39:48] 16 Breeds catched
[12:39:48] 256 Heads catched
[12:39:48] 561 Effects catched
[12:39:49] 4 SuperAreas catched
[12:39:49] 48 Areas catched
[12:39:50] 334 SubAreas catched
[12:39:57] 11260 DofusMaps catched
[12:39:57] 9761 StatedElements catched
[12:39:57] 13349 InteractiveElements catched
[12:39:57] 1485 HouseInformations catched
[12:39:57] 555 InteractiveDoors catched
[12:39:58] 3614 MapPositions uncatched
[12:39:58] 14681 MapPositions catched
[12:39:58] 42 MapZaaps catched
[12:39:58] 79 MapSubways catched
[12:39:58] 15228 SpellLevels catched 
[12:39:58] 4772 Spells catched 
[12:39:58] 1179 LearnableSpells catched 
[12:39:58] 9780 ItemTemplates catched 
[12:39:58] 4489 Weapons catched 
[12:39:58] 363 ItemSets catched 
[12:39:58] 171 ItemTypes catched 
[12:39:58] 110 ItemPets catched 
[12:39:59] 2476 NpcTemplates catched 
[12:39:59] 787 NpcSpawns catched 
[12:39:59] 94 NpcItems catched 
[12:39:59] 19801 NpcMessages catched 
[12:39:59] 7 NpcReplies catched 
[12:39:59] 353 Triggers catched
[12:39:59] 1281 Paddocks catched
[12:39:59] 72 Mounts catched
[12:39:59] 0 Guild catched
[12:39:59] 0 GuildMembers catched
[12:40:00] 96 Handlers Readed
[12:40:00] 125 Messages Readed
[12:40:00] WorldServer start in 12113 ms.
